nim,tgl_lahir,ipk,sks,bobot,ta,lama_studi,tgl_yudisium
D22.2018.02565,,3.27,118,0.0,0,3.0,2021-08-31
D22.2018.02568,,3.59,118,0.0,0,3.0,2021-08-31
D22.2018.02569,,3.7,118,0.0,0,3.0,2021-08-31
D22.2018.02572,,3.05,118,0.0,0,3.0,2021-08-31
D22.2018.02577,,3.19,118,0.0,0,3.0,2021-08-31
D22.2018.02580,,3.12,118,0.0,0,3.0,2021-08-31
D22.2018.02377,,3.24,118,0.0,0,3.0,2021-08-31
D22.2018.02375,,3.17,118,0.0,0,3.0,2021-08-31
D22.2018.02374,,3.27,118,0.0,0,3.0,2021-08-31
D22.2018.02373,,3.24,118,0.0,0,3.0,2021-08-31
D22.2018.02369,,3.47,118,0.0,0,3.0,2021-08-31
D22.2018.02363,,3.46,118,0.0,0,3.0,2021-08-31
D22.2018.02360,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02359,,3.27,118,0.0,0,3.0,2021-08-31
D22.2018.02358,,3.47,118,0.0,0,3.0,2021-08-31
D22.2018.02356,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02351,,3.25,118,0.0,0,3.0,2021-08-31
D22.2018.02347,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02346,,3.18,118,0.0,0,3.0,2021-08-31
D22.2018.02345,,3.18,118,0.0,0,3.0,2021-08-31
D22.2018.02343,,3.08,118,0.0,0,3.0,2021-08-31
D22.2018.02342,,3.19,118,0.0,0,3.0,2021-08-31
D22.2018.02340,,3.23,118,0.0,0,3.0,2021-08-31
D22.2018.02339,,3.45,118,0.0,0,3.0,2021-08-31
D22.2018.02337,,3.07,118,0.0,0,3.0,2021-08-31
D22.2018.02335,,3.23,118,0.0,0,3.0,2021-08-31
D22.2018.02334,,3.42,118,0.0,0,3.0,2021-08-31
D22.2018.02329,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02328,,3.47,118,0.0,0,3.0,2021-08-31
D22.2018.02327,,3.25,118,0.0,0,3.0,2021-08-31
D22.2018.02326,,3.34,118,0.0,0,3.0,2021-08-31
D22.2018.02325,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02322,,3.19,118,0.0,0,3.0,2021-08-31
D22.2018.02320,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02319,,3.17,118,0.0,0,3.0,2021-08-31
D22.2018.02318,,3.26,118,0.0,0,3.0,2021-08-31
D22.2018.02316,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02315,,3.17,118,0.0,0,3.0,2021-08-31
D22.2018.02314,,3.34,118,0.0,0,3.0,2021-08-31
D22.2018.02313,,3.3,118,0.0,0,3.0,2021-08-31
D22.2018.02312,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02310,,3.24,118,0.0,0,3.0,2021-08-31
D22.2018.02309,,3.61,118,0.0,0,3.0,2021-08-31
D22.2018.02306,,3.59,118,0.0,0,3.0,2021-08-31
D22.2018.02303,,3.53,118,0.0,0,3.0,2021-08-31
D22.2018.02302,,2.92,117,0.0,0,3.0,2021-08-31
D22.2018.02299,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02295,,3.55,118,0.0,0,3.0,2021-08-31
D22.2018.02294,,3.3,118,0.0,0,3.0,2021-08-31
D22.2018.02293,,3.34,118,0.0,0,3.0,2021-08-31
D22.2018.02291,,3.3,118,0.0,0,3.0,2021-08-31
D22.2018.02289,,3.4,118,0.0,0,3.0,2021-08-31
D22.2018.02287,,3.44,118,0.0,0,3.0,2021-08-31
D22.2018.02286,,3.19,118,0.0,0,3.0,2021-08-31
D22.2018.02285,,3.61,118,0.0,0,3.0,2021-08-31
D22.2018.02284,,3.25,118,0.0,0,3.0,2021-08-31
D22.2018.02279,,3.37,118,0.0,0,3.0,2021-08-31
D22.2018.02278,,3.05,117,0.0,0,3.0,2021-08-31
D22.2018.02277,,3.56,118,0.0,0,3.0,2021-08-31
D22.2018.02275,,2.99,118,0.0,0,3.0,2021-08-31
D22.2018.02274,,3.77,118,0.0,0,3.0,2021-08-31
D22.2018.02272,,3.11,118,0.0,0,3.0,2021-08-31
D22.2018.02271,,3.45,118,0.0,0,3.0,2021-08-31
D22.2018.02269,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02268,,3.31,118,0.0,0,3.0,2021-08-31
D22.2018.02267,,3.34,118,0.0,0,3.0,2021-08-31
D22.2018.02263,,3.51,118,0.0,0,3.0,2021-08-31
D22.2018.02262,,3.48,118,0.0,0,3.0,2021-08-31
D22.2018.02259,,3.28,118,0.0,0,3.0,2021-08-31
D22.2018.02258,,3.35,118,0.0,0,3.0,2021-08-31
D22.2018.02257,,3.33,118,0.0,0,3.0,2021-08-31
D22.2018.02256,,3.29,118,0.0,0,3.0,2021-08-31
D22.2018.02255,,3.26,118,0.0,0,3.0,2021-08-31
D22.2018.02254,,3.36,118,0.0,0,3.0,2021-08-31
D22.2018.02253,,3.53,118,0.0,0,3.0,2021-08-31
D22.2018.02250,,3.41,118,0.0,0,3.0,2021-08-31
